brand,model_year,milage,fuel_type,engine,transmission,price
Ford,2013,"51,000 mi.",E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,"$10,300"
Hyundai,2021,"34,742 mi.",Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,"$38,005"
Lexus,2022,"22,372 mi.",Gasoline,3.5 Liter DOHC,Automatic,"$54,598"
INFINITI,2015,"88,900 mi.",Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,"$15,500"
Audi,2021,"9,835 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,"$34,999"
Acura,2016,"136,397 mi.",Gasoline,2.4 Liter,F,"$14,798"
Audi,2017,"84,000 mi.",Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$31,000"
BMW,2001,"242,000 mi.",Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,"$7,300"
Lexus,2021,"23,436 mi.",Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$41,927"
Tesla,2020,"34,000 mi.",,534.0HP Electric Motor Electric Fuel System,A/T,"$69,950"
Land,2021,"27,608 mi.",Gasoline,V6,Automatic,"$73,897"
Aston,2019,"22,770 mi.",Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$184,606"
Toyota,2021,"12,500 mi.",Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,"$53,500"
Lincoln,2022,"18,196 mi.",Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$62,000"
Jaguar,2020,"15,903 mi.",Gasoline,2.0 Liter Supercharged,Automatic,"$47,998"
Land,2013,"79,800 mi.",Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,"$29,990"
Mercedes-Benz,2021,"1,685 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,"$250,000"
Dodge,2013,"61,074 mi.",Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,"$16,800"
Nissan,2003,"74,000 mi.",Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$11,000"
Jaguar,2018,"35,250 mi.",Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$68,750"
Genesis,2023,"5,400 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$60,000"
Chevrolet,2000,"133,510 mi.",E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,A/T,"$4,500"
BMW,2020,"25,990 mi.",Gasoline,3.0 Liter Turbo,Automatic,"$38,598"
Ford,2023,"2,823 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,"$58,504"
Chevrolet,2021,"52,000 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$61,000"
Hyundai,2022,"11,650 mi.",Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$32,300"
Nissan,2016,"96,541 mi.",Gasoline,1.8 Liter,Automatic,"$13,998"
